es,slug
cartuchera de hikou prime,hikou_prime_pouch
plano de reaper prime,reaper_prime_blueprint
casco thrak arcano,arcane_thrak_helmet
quemarropa prime,primed_point_blank
poder de tres,power_of_three
plano de neurópticas de rhino prime,rhino_prime_neuroptics_blueprint
pureza desarmadora,disarming_purity
culata de gorgon fantasma,gorgon_wraith_stock
cuerda de ballistica prime,ballistica_prime_string
serpientes cruzadas,crossing_snakes
rejuvenecimiento,rejuvenation
excavar,dig
triturador,shredder
miseria ininterrumpida,continuous_misery
set de vasto prime,vasto_prime_set
casco avalon arcano,arcane_avalon_helmet
munición termita,thermite_rounds
casco flux arcano,arcane_flux_helmet
akbolto telos,telos_akbolto
casco aura arcano,arcane_aura_helmet
castanas sancti,sancti_castanas
golpe de la grieta,rift_strike
blitz vulcano,vulcan_blitz
casco gambit arcano,arcane_gambit_helmet
casco chlora arcano,arcane_chlora_helmet
casco esprit arcano,arcane_esprit_helmet
engaño arcano,arcane_trickery
plano de neurópticas de oberon prime,oberon_prime_neuroptics_blueprint
plano de neurópticas de volt prime,volt_prime_neuroptics_blueprint
casco phoenix arcano,arcane_phoenix_helmet
pala inferior de ballistica prime,ballistica_prime_lower_limb
plano de chasis de volt prime,volt_prime_chassis_blueprint
veridos marquesa,marquise_veridos
casco reverb arcano,arcane_reverb_helmet
malabarismo explosivo,explosive_legerdemain
castiga orokin,smite_corrupted
casco hemlock arcano,arcane_hemlock_helmet
sanguijuela vampírica,vampire_leech
plano de zhuge prime,zhuge_prime_blueprint
cadena de ninkondi prime,ninkondi_prime_chain
receptor de zhuge prime,zhuge_prime_receiver
set de zhuge prime,zhuge_prime_set
plano de neurópticas de wukong prime,wukong_prime_neuroptics_blueprint
extensión ruinosa,ruinous_extension
salvajismo,savagery
gambito de pistola,pistol_gambit
plaga reluciente,gleaming_blight
plano de neurópticas de ember prime,ember_prime_neuroptics_blueprint
tormento persistente,lingering_torment
disparo martillo,hammer_shot
mutación de munición de escopeta prime,primed_shotgun_ammo_mutation
velocidad arcana,arcane_velocity
plano de nyx prime,nyx_prime_blueprint
culata de dera vándalo,dera_vandal_stock
plano de karak fantasma,karak_wraith_blueprint
plano de sistemas de nyx prime,nyx_prime_systems_blueprint
cuerda balanceante,swing_line
set de kamas dobles prime,dual_kamas_prime_set
ráfaga calculada,measured_burst
intercambio protector,safeguard_switch
shade prisma,prisma_shade
escena de vestíbulo de la ciudad gaseosa,gas_city_lobby_scene
ampliado,overextended
proteger,protect
eclipse total,total_eclipse
casco pulse arcano,arcane_pulse_helmet
persecución del vigilante,vigilante_pursuit
destello de señal,purging_slash
casco gauss de mag arcano,arcane_mag_gauss_helmet
núcleo de fusión antiguo,ancient_fusion_core
guante derecho de furax fantasma,furax_wraith_right_gauntlet
golpe de barrena,auger_strike
plano de neurópticas de nyx prime,nyx_prime_neuroptics_blueprint
plano de rhino prime,rhino_prime_blueprint
manos firmes,steady_hands
receptor de tigris prime,tigris_prime_receiver
conversión de energía,energy_conversion
resistencia arcana,arcane_resistance
torrente letal,lethal_torrent
hoja de war,war_blade
detectar vulnerabilidad,detect_vulnerability
tormenta de arena elemental,elemental_sandstorm
fibra de acero,steel_fiber
ampliación de cargador,magazine_extension
explosivos ocultos,concealed_explosives
destrozar prime,primed_ravage
recarga agotada,depleted_reload
caparazón de helios prime,helios_prime_carapace
sistemas de wyrm prime,wyrm_prime_systems
plano de neurópticas de trinity prime,trinity_prime_neuroptics_blueprint
monstruo mental,mind_freak
empuñadura de fang prime,fang_prime_handle
aerodinamizar,streamline
aislamiento,insulation
cargador presurizado,pressurized_magazine
óptica de emboscada,ambush_optics
plano de chasis de nyx prime,nyx_prime_chassis_blueprint
capacitancia,capacitance
cartucho comprimido,shell_compression
plano de chasis de loki prime,loki_prime_chassis_blueprint
perforar,bore
bengala señalizadora,signal_flare
carrera relámpago,lightning_dash
plano de chasis de mag prime,mag_prime_chassis_blueprint
set de snipetron vándalo,snipetron_vandal_set
batería de maniobras,battering_maneuver
paso perforante,piercing_step
frenesí de bola de fuego,fireball_frenzy
pureza duradera,lasting_purity
sifón de energía,energy_siphon
acechar,stalk
cargador deformado,magazine_warp
infiltrar,infiltrate
víbora enroscada,coiling_viper
punto de presión prime,primed_pressure_point
choque de frío,cold_snap
cámara infernal,hells_chamber
plaga acumulada,stockpiled_blight
empuñadura de nami skyla prime,nami_skyla_prime_handle
viento fracturador,fracturing_wind
fulminación,fulmination
tambor de munición,ammo_drum
monarquía exiliada,sovereign_outcast
fuerza del gladiador,gladiator_might
impacto pesado,heavy_impact
trueno,thunderbolt
depósito de vida,pool_of_life
ráfaga de entropía,entropy_burst
atracción fatal,fatal_attraction
palma sísmica,seismic_palm
punto de presión,pressure_point
municiones modificadas,modified_munitions
talento natural,natural_talent
dardos,flechette
maldición fulgurante,shimmering_blight
hojas de justicia,justice_blades
aguafiestas,buzz_kill
plano de pyrana prime,pyrana_prime_blueprint
receptor de pyrana prime,pyrana_prime_receiver
cañón de pyrana prime,pyrana_prime_barrel
set de destreza prime,destreza_prime_set
expeler grineer prime,primed_expel_grineer
expeler corpus prime,primed_expel_corpus
expeler infestados prime,primed_expel_infested
expeler orokin prime,primed_expel_corrupted
mano temblante,quaking_hand
glandula flamígera,flame_gland
hojas divisoras,dividing_blades
phasmin suave,smooth_phasmin
pulso arcano,arcane_pulse
justicia súbita,sudden_justice
acometida de sangre,blood_rush
disparo de metralla,shrapnel_shot
fuga de refrigerante,coolant_leak
recuperación de guardia,ward_recovery
carga incendiaria prime,primed_heated_charge
estrella de neutrones,neutron_star
disparos craneales,skull_shots
plano de neurópticas de loki prime,loki_prime_neuroptics_blueprint
fervor del vigilante,vigilante_fervor
hoja de ankyros prime,ankyros_prime_blade
guante de ankyros prime,ankyros_prime_gauntlet
plano de bo prime,bo_prime_blueprint
escudo de silva & aegis prime,silva_and_aegis_prime_guard
escarcha atroz,vicious_frost
filo dentado,jagged_edge
rotura de escudos,shield_disruption
vigor del mago,magus_vigor
bombardeo de escopeta,shotgun_barrage
casco swindle arcano,arcane_swindle_helmet
vicio del gladiador,gladiator_vice
casco meridian arcano,arcane_meridian_helmet
núcleo legendario,legendary_fusion_core
culata de tigris prime,tigris_prime_stock
aguja giratoria,spinning_needle
culata de snipetron vándalo,snipetron_vandal_stock
fuego salvaje,wildfire
perdición de los grineer,bane_of_grineer
plano de aviónica de scimitar,scimitar_avionics_blueprint
guardia de reflejo,reflex_guard
protección perpetua,everlasting_ward
plano de neurópticas de ash prime,ash_prime_neuroptics_blueprint
sacudida,jolt
culata de vectis prime,vectis_prime_stock
velocidad impresionante,stunning_speed
continuidad prime,primed_continuity
empuñadura de bo prime,bo_prime_handle
rumbo de choque,crash_course
sistemas vitales desviados,vital_systems_bypass
singularidad,singularity
acrobacia blindada,armored_acrobatics
impulso letal,lethal_momentum
perdición de los infestados prime,primed_bane_of_infested
perdición del corpus prime,primed_bane_of_corpus
plano de carrier prime,carrier_prime_blueprint
máscara vulpina,vulpine_mask
perdición de los grineer prime,primed_bane_of_grineer
cañón de vectis prime,vectis_prime_barrel
bombeo táctico,tactical_pump
casco menticide arcano,arcane_menticide_helmet
casco aurora arcano,arcane_aurora_helmet
plano de soma prime,soma_prime_blueprint
desatado,unleashed
cañón de vasto prime,vasto_prime_barrel
casco chorus arcano,arcane_chorus_helmet
plano de vasto prime,vasto_prime_blueprint
trayectoria de entropía,entropy_flight
set de saryn prime,saryn_prime_set
pop de vert,poppin_vert
reparación del mago,magus_repair
falla del mago,magus_glitch
balance perfecto,perfect_balance
consumo de cepa,strain_consume
mod agrietado de zaw (velado),zaw_riven_mod_(veiled)
plano de mazo del lobo,wolf_sledge_blueprint
sobrecarga del mago,magus_overload
fisión molecular,molecular_fission
motor del mazo del lobo,wolf_sledge_motor
frenesí salvaje,wild_frenzy
granadas de napalm,napalm_grenades
empuñadura de tipedo prime,tipedo_prime_handle
set de stradavar prime,stradavar_prime_set
plano de equinox prime,equinox_prime_blueprint
cañón de bronco prime,bronco_prime_barrel
empuñadura de war,war_hilt
plano de sistemas de nova prime,nova_prime_systems_blueprint
plano de frost prime,frost_prime_blueprint
plano de bronco prime,bronco_prime_blueprint
crepúsculo astral,astral_twilight
disparo instantáneo,snap_shot
receptor de burston prime,burston_prime_receiver
hoja de fang prime,fang_prime_blade
plano de neurópticas de vauban prime,vauban_prime_neuroptics_blueprint
estrellas de hikou prime,hikou_prime_stars
intruso,intruder
angstrum prisma,prisma_angstrum
culata de phaedra,phaedra_stock
chamuscar,scorch
máximo de entropía,entropy_spike
undécima tormenta,eleventh_storm
plano de neurópticas de nova prime,nova_prime_neuroptics_blueprint
mina de antimateria,antimatter_mine
plano de chasis de nova prime,nova_prime_chassis_blueprint
prisma protector,prism_guard
cargador falso,trick_mag
plano de nova prime,nova_prime_blueprint
enlace engañoso,deceptive_bond
plano de neurópticas de frost prime,frost_prime_neuroptics_blueprint
casco squall arcano,arcane_squall_helmet
redirección calculada,calculated_redirection
cartucho cargado,charged_shell
limpieza de corpus,cleanse_corpus
acero abrasador,searing_steel
desviación acelerada,accelerated_deflection
bosque estruendoso,clashing_forest
ira primitiva,primal_rage
pisada celestial,celestial_stomp
penta secura,secura_penta
disparo rasurador,razor_shot
terror insidioso,creeping_terrify
plano de trinity prime,trinity_prime_blueprint
furia macabra,grim_fury
escultura ayatan orta,ayatan_orta_sculpture
canal de energía,energy_channel
juicio sagrado,hallowed_reckoning
convulsión,convulsion
furia arcana,arcane_fury
resiliencia súbita,rapid_resilience
pestilencia de pistola,pistol_pestilence
transformador mórfico prime,primed_morphic_transformer
ímpetu frágil,frail_momentum
munición patógena,pathogen_rounds
égida arcana,arcane_aegis
impacto súbito,sudden_impact
consecuencia arcana,arcane_consequence
filo templado,tempered_blade
castiga corpus,smite_corpus
energizar arcano,arcane_energize
fusilamiento acolmillado,fanged_fusillade
resolución del gladiador,gladiator_resolve
fantasma,ghost
munición escarchada,rime_rounds
vulkar fantasma,vulkar_wraith
escultura ayatan piv,ayatan_piv_sculpture
armadura de negación,negation_swarm
trabuco,blunderbuss
cañón de sybaris prime,sybaris_prime_barrel
égida de centauro,centaur_aegis
mod de aumento de céfalon suda,cephalon_suda_augment_mod
plano de chasis de banshee prime,banshee_prime_chassis_blueprint
alcance helado,chilling_grasp
plano de chasis de wukong prime,wukong_prime_chassis_blueprint
acero en llamas,blazing_steel
encendido,fired_up
tormenta despedazadora,shattering_storm
sentido del miedo,sense_danger
baile de balas,bullet_dance
plano de vipers gemelas fantasma,twin_vipers_wraith_blueprint
cámara dividida,split_chamber
viento del norte,north_wind
carroñero de escopeta,shotgun_scavenger
gammacor synoid,synoid_gammacor
set de helios prime,helios_prime_set
ballistica rakta,rakta_ballistica
plano de neurópticas de hydroid prime,hydroid_prime_neuroptics_blueprint
tirón codicioso,greedy_pull
set de silva & aegis prime,silva_and_aegis_prime_set
santuario,sanctuary
granadas de anclaje,tether_grenades
aviador,aviator
precipitación del halcón,swooping_falcon
constitución,constitution
infusión de castigo,smite_infusion
set de collar kavasa prime de kubrow,kavasa_prime_kubrow_collar_set
set de latron prime,latron_prime_set
set de lex prime,lex_prime_set
set de odonata prime,odonata_prime_set
planeo de arma,gun_glide
salto escarchado,rime_vault
presa derrotada,vanquished_prey
lanza voltaica,voltaic_lance
ritmo ágil,deft_tempo
doble disparo,double_tap
acto final,final_act
disparo final,final_tap
cámara hidráulica,hydraulic_chamber
calibre hidráulico,hydraulic_gauge
escotilla suelta,loose_hatch
cañón angosto,narrow_barrel
cañón de strun fantasma,strun_wraith_barrel
lente zenurik eidolon,eidolon_zenurik_lens
empuñadura de destreza prime,destreza_prime_handle
durabilidad mejorada,enhanced_durability
amplificador de enfundado,holster_amp
ataque arcano,arcane_strike
alcance siniestro,sinister_reach
set de vectis prime,vectis_prime_set
cortada de mantis,carving_mantis
líder de la manada prime,primed_pack_leader
anulador arcano,arcane_nullifier
set de rhino prime,rhino_prime_set
set de sicarus prime,sicarus_prime_set
grinlokeado,grinloked
victoria arcana,arcane_victory
pasos apresurados,hastened_steps
al acecho,lie_in_wait
receptor de boltor prime,boltor_prime_receiver
culata de boltor prime,boltor_prime_stock
acechador de la noche,night_stalker
heliocor synoid,synoid_heliocor
sistemas elytron,elytron_systems_blueprint
steel meridian augment mod,steel_meridian_augment_mod
cosecha de sombras,shadow_harvest
azote de argén,argent_scourge
cañón de tigris prime,tigris_prime_barrel
eyectar cargador,eject_magazine
plan b,plan_b
avispa ardiente,burning_wasp
balas afiladas,sharpened_bullets
balas destripadoras,ripper_rounds
receptor de soma prime,soma_prime_receiver
espiral segadora,reaping_spiral
culata de soma prime,soma_prime_stock
hoja afilada,sharpened_blade
deslizamiento ametrallante,strafing_slide
set de scimitar,scimitar_set
desviadores excedentes,surplus_diverters
cataclismo continuo,cataclysmic_continuum
set de braton prime,braton_prime_set
asalto implacable,relentless_assault
empuñadura de silva & aegis prime,silva_and_aegis_prime_hilt
resorte calculado,calculated_spring
balas cósmicas,comet_rounds
plano de chasis de hydroid prime,hydroid_prime_chassis_blueprint
plano de aklex prime,aklex_prime_blueprint
set de aklex prime,aklex_prime_set
plano de ballistica prime,ballistica_prime_blueprint
corte calmado,tranquil_cleave
enlace de vitalidad,link_vitality
líder de la manada,pack_leader
superviviente espiritual,soul_survivor
conversión molecular,molecular_conversion
golpeador,thumper
carrera,rush
cargador infectado,infected_clip
limpieza de infestados,cleanse_infested
resplandor,blaze
aspiradora,vacuum
generador de energía,energy_generator
huracán escarlata,scarlet_hurricane
acercamiento cruel,vicious_approach
mandíbula congelante,frost_jaw
collar de choque,shock_collar
aterrizaje pringoso,thrash_landing
impacto de motus,motus_impact
ventaja de aero,aero_vantage
ajuste de motus,motus_setup
patada vendaval,gale_kick
señal de motus,motus_signal
escena de la plataforma 12,deck_12_scene
plano de ninkondi prime,ninkondi_prime_blueprint
cañón de zhuge prime,zhuge_prime_barrel
empuñadura de ninkondi prime,ninkondi_prime_handle
set de ninkondi prime,ninkondi_prime_set
set de wukong prime,wukong_prime_set
empuñadura de scindo prime,scindo_prime_handle
precisión vil,vile_precision
mira de paralaje,parallax_scope
vitalidad,vitality
carroñero de francotirador,sniper_scavenger
impronta de kubrow sunika,sunika_kubrow_imprint
impronta de kavat adarza,adarza_kavat_imprint
cañón de rubico prime,rubico_prime_barrel
portador de tormentas,stormbringer
erupción arcana,arcane_eruption
casco vespa arcano,arcane_vespa_helmet
velocidad de escape,escape_velocity
expeler infestados,expel_infested
escena de mirador de las nubes de la ciudad gaseosa,gas_city_cloud_vista_scene
munición de combustión,combustion_rounds
mutación de munición de francotirador,sniper_ammo_mutation
plano de loki prime,loki_prime_blueprint
fuerza buscadora,seeking_force
rompeobjetivos,target_cracker
experiencia fugaz,fleeting_expertise
retraso crítico,critical_delay
provocado,provoked
golpe podrido,spoiled_strike
capa incendiaria,incendiary_coat
casco coil arcano,arcane_coil_helmet
acuerdo de augurio,augur_accord
retrocargador,breach_loader
plano de kamas dobles prime,dual_kamas_prime_blueprint
tragedia de gaia,gaias_tragedy
cañón de latron prime,latron_prime_barrel
cañón de karak fantasma,karak_wraith_barrel
lente zenurik,zenurik_lens
derivación ágil,agility_drift
mordisco,bite
posquemador,afterburn
tormenta creciente,rising_storm
set de ember prime,ember_prime_set
redirección,redirection
set de fang prime,fang_prime_set
globo refrigerante,chilling_globe
set de mag prime,mag_prime_set
exotérmico,exothermic
plano de neurópticas de nekros prime,nekros_prime_neuroptics_blueprint
ojo de águila,eagle_eye
sobrecarga de escudos,shield_overload
bobina de arco eléctrico,arc_coil
esfera de caos,chaos_sphere
fijación histérica,hysterical_fixation
ajuste de cuentas contaminado,defiled_reckoning
disparo de choque,crash_shot
caja de munición,ammo_case
set de euphona prime,euphona_prime_set
hoja de la verdad,blade_of_truth
enfoque de energía,focus_energy
ojo de halcón,hawk_eye
plano de boar prime,boar_prime_blueprint
set de oberon prime,oberon_prime_set
hoja de centauro,centaur_blade
barrido dentado,sweeping_serration
hoja de agkuza,agkuza_blade
enlace de redirección,link_redirection
plano de tiberon prime,tiberon_prime_blueprint
carniceros dobles prisma,prisma_dual_cleavers
convergencia dirigida,directed_convergence
plano de saryn prime,saryn_prime_blueprint
trauma pesado prime,primed_heavy_trauma
despertar arcano,arcane_awakening
baliza gamma,gamma_beacon
ultimátum arcano,arcane_ultimatum
plano de dera vándalo,dera_vandal_blueprint
obex prisma,prisma_obex
set de bo prime,bo_prime_set
set de boar prime,boar_prime_set
receptor de ballistica prime,ballistica_prime_receiver
set de boltor prime,boltor_prime_set
culata de strun fantasma,strun_wraith_stock
set de strun fantasma,strun_wraith_set
set de kogake prime,kogake_prime_set
guantelete de kogake prime,kogake_prime_gauntlet
plano de zephyr prime,zephyr_prime_blueprint
set de lato vándalo,lato_vandal_set
plano de lato vándalo,lato_vandal_blueprint
cañón de lato vándalo,lato_vandal_barrel
set de braton vándalo,braton_vandal_set
escena de asentamiento de artillería grineer,grineer_settlement_artillery_scene
escena del abismo de la fortaleza de kuva,kuva_fortress_crevice_scene
escena de la centrífuga de laboratorio marino grineer,grineer_sealab_centrifuge_scene
escena de balcón de lua,lua_balcony_scene
reactivar,reawaken
plano de neurópticas de valkyr prime,valkyr_prime_neuroptics_blueprint
empuñadura de centauro,centaur_handle
mensaje de augurio,augur_message
castigo verdadero,true_punishment
detonación entrópica,entropy_detonation
grulla desgarradora,rending_crane
reconocimiento aéreo,air_recon
plano de venka prime,venka_prime_blueprint
plano de euphona prime,euphona_prime_blueprint
empuñadura de onorix,onorix_handle
quemarropa,point_blank
reflejo,reflection
espina punzante,stinging_thorn
amplificador de escopeta,shotgun_amp
anomalía del mago,magus_anomaly
empuñadura de kamas dobles prime,dual_kamas_prime_handle
agitación virtuosa,virtuos_surge
objetivo marcado,marked_target
hojas poderosas,empowered_blades
hebilla del collar kavasa prime,kavasa_prime_buckle
erupción de cepa,strain_eruption
permanece unido,stand_united
cinta del collar kavasa prime,kavasa_prime_band
escena del trono de kuva,kuva_throne_scene
escena del conducto del santuario,sanctuary_conduit_scene
colmillo venenoso,venom_teeth
acero naciente,rising_steel
furia perforadora,piercing_fury
amarasto estrella,star_amarast
impulso aéreo venerdo,venerdo_hoverdrive
pionero llameante,trail_blazer
escanear materia,scan_matter
fricción cinética,kinetic_friction
escanea formas de vida acuáticas,scan_lifeforms
hora de volar,air_time
protectores de ríeles,rail_guards
modo de asalto,assault_mode
seguros magnéticos,mag_locks
amortiguadores de inercia,inertia_dampeners
set de akvasto prime,akvasto_prime_set
agonía perpetua,perpetual_agony
agilidad blindada,armored_agility
conteo de bajas,body_count
desviación arcana,arcane_deflection
heridas supurantes,weeping_wounds
enlace de akbronco prime,akbronco_prime_link
tormenta bermellón,vermillion_storm
golpe mutilador,maiming_strike
investigador,investigator
caminante de fuego,firewalker
mira hidráulica,hydraulic_crosshairs
vuelo tóxico,toxic_flight
mira láser,laser_sight
castiga infestados,smite_infested
dosis de veneno,venom_dose
giro desgarrador,rending_turn
ola sísmica,seismic_wave
empuñadura de dakra prime,dakra_prime_handle
expeler grineer,expel_grineer
cañón de soma prime,soma_prime_barrel
plano de neurópticas de mag prime,mag_prime_neuroptics_blueprint
manos rápidas prime,primed_fast_hands
set de furax fantasma,furax_wraith_set
tirador certero,dead_eye
mod agrietado de cuerpo a cuerpo (velado),melee_riven_mod_(veiled)
proyección corrosiva,corrosive_projection
mod agrietado de pistola (velado),pistol_riven_mod_(veiled)
trauma pesado,heavy_trauma
valor de exodia,exodia_valor
cámara cargada,charged_chamber
impunidad de la marea,tidal_impunity
calibre perforador,piercing_caliber
casco backdraft arcano,arcane_backdraft_helmet
explosión adhesiva,adhesive_blast
choque cinético,kinetic_collision
miter explosiva,thundermiter
toque final,finishing_touch
presteza estática,static_alacrity
plano de chasis de ash prime,ash_prime_chassis_blueprint
plano de tigris prime,tigris_prime_blueprint
secuelas emergentes,emergent_aftermath
fortaleza,fortitude
plano de sistemas de ash prime,ash_prime_systems_blueprint
plano de sistemas de mag prime,mag_prime_systems_blueprint
grakata prisma,prisma_grakata
movilización,mobilize
receptor de vectis prime,vectis_prime_receiver
gatillo automático,automatic_trigger
recuperación blindada,armored_recovery
sydon vaykor,vaykor_sydon
desliz de cargador,slip_magazine
colmillo preciso,homing_fang
gracia arcana,arcane_grace
cercenar,maul
vitalidad mejorada,enhanced_vitality
adorno de bo prime,bo_prime_ornament
receptor de dera vándalo,dera_vandal_receiver
set de ankyros prime,ankyros_prime_set
aceleración vil,vile_acceleration
difusión de cañón,barrel_diffusion
torbellino,whirlwind
antitoxina,antitoxin
interruptor,disruptor
calibre pesado,heavy_caliber
golpe perforador,piercing_hit
continuidad,continuity
peine viciado,tainted_clip
tropa de choque,shock_trooper
flujo,flow
deceleración crítica,critical_deceleration
caparazón de wyrm prime,wyrm_prime_carapace
llama sanadora,healing_flame
vulcano atlántida,atlantis_vulcan
tetra prisma,prisma_tetra
fractura sónica,sonic_fracture
set de paris prime,paris_prime_set
set de trinity prime,trinity_prime_set
armamentos del vigilante,vigilante_armaments
plano de sybaris prime,sybaris_prime_blueprint
linterna encantadora,beguiling_lantern
set de ballistica prime,ballistica_prime_set
furia virtuosa,virtuos_fury
nulidad virtuosa,virtuos_null
ritmo virtuoso,virtuos_tempo
fuerza de exodia,exodia_force
fantasma virtuoso,virtuos_ghost
espada cromática,chromatic_blade
expeler orokin,expel_corrupted
égida del gladiador,gladiator_aegis
justicia neutralizadora,neutralizing_justice
zodian radiante,radiant_zodian
piraña mordaz,biting_piranha
plano de wukong prime,wukong_prime_blueprint
plano de sistemas de wukong prime,wukong_prime_systems_blueprint
cuerda de zhuge prime,zhuge_prime_string
verdad dorada,gilded_truth
enlace de fibra,link_fiber
pies firmes,sure_footed
sauce sangrante,bleeding_willow
voluntad eterna,undying_will
fénix de hierro,iron_phoenix
viento punzante,pointed_wind
estabilizador,stabilizer
carroñero de rifle,rifle_scavenger
aceleración,quickening
cañón revestido de rubedo,rubedo_lined_barrel
golpe rompedor,sundering_strike
negar,negate
crecimiento peculiar,peculiar_growth
hoja de destreza prime,destreza_prime_blade
potenciamiento de mecha,mecha_empowered
pulso de mecha,mecha_pulse
lluvia de magia,mafic_rain
madera aplastante,crashing_timber
hydra corrompida,tainted_hydra
azotamiento arrollado,lashing_coil
regeneración,regen
enlace de aklex prime,aklex_prime_link
gatillo veloz,speed_trigger
secretos de augurio,augur_secrets
escena de la guarnición de cressa,cressas_garrison_scene
escena del tribunal de árbitros,arbiters_tribunal_scene
escena de industria del bosque grineer,grineer_forest_industry_scene
plano de sistemas de banshee prime,banshee_prime_systems_blueprint
mutación de flecha,arrow_mutation
plano de hydroid prime,hydroid_prime_blueprint
desviación apresurada,hastened_deflection
inyección infecciosa,infectious_injection
hoja sabia,wise_razor
plano de sistemas de equinox prime,equinox_prime_systems_blueprint
mod agrietado de archcañón (velado),archgun_riven_mod_(veiled)
plano de paris prime,paris_prime_blueprint
terremoto resonador,resonating_quake
rama fustigadora,flailing_branch
congelación,frostbite
escena de descenso central de la ciudad gaseosa,gas_city_central_drop_scene
lente unairu de lua,lua_unairu_lens
pastor,shepherd
escena de extracción de torre orokin,orokin_tower_extraction_scene
eficiencia letal,deadly_efficiency
forja virtuosa,virtuos_forge
plano de akvasto prime,akvasto_prime_blueprint
enlace de akvasto prime,akvasto_prime_link
recubrimiento contaminado,contamination_casing
escena del puesto de mando de onkko,onkkos_command_post_scene
sobrecarga de flujo,flux_overdrive
hoja de onorix,onorix_blade
set de venka prime,venka_prime_set
suprimir,suppress
fijación de objetivos,target_fixation
levitación magnética,maglev
limpieza de grineer,cleanse_grineer
reflejos intensificados,heightened_reflexes
cazar,hunt
plano de orthos prime,orthos_prime_blueprint
salón de la malevolencia,hall_of_malevolence
castiga grineer,smite_grineer
tormenta de fuego,firestorm
perdición del corpus,bane_of_corpus
furia berserker,berserker_fury
saqueo entusiasta,rousing_plunder
cargador suelto,loose_magazine
ataque vital,life_strike
voltereta,handspring
empuñadura de paris prime,paris_prime_grip
tiro de suerte,lucky_shot
cañón electrificado,electrified_barrel
capacidad máxima,maximum_capacity
señuelo salvador,savior_decoy
abanico acechante,stalking_fan
