ch_tra,slug
精神狂怒,mind_freak
狼牙 prime 握柄,fang_prime_handle
簡化,streamline
隔熱,insulation
增壓彈匣,pressurized_magazine
伏擊光子,ambush_optics
nyx prime 機體 藍圖,nyx_prime_chassis_blueprint
電容,capacitance
壓縮彈藥,shell_compression
loki prime 機體 藍圖,loki_prime_chassis_blueprint
槍膛,bore
信號閃光,signal_flare
電光衝刺,lightning_dash
mag prime 機體 藍圖,mag_prime_chassis_blueprint
狙擊特昂 破壞者 一套,snipetron_vandal_set
機動衝撞,battering_maneuver
穿刺步伐,piercing_step
狂熱火球,fireball_frenzy
永恆純淨,lasting_purity
能量虹吸,energy_siphon
隱密追蹤,stalk
彈匣增幅,magazine_warp
滲透,infiltrate
毒蛇螺旋,coiling_viper
壓迫點 prime,primed_pressure_point
寒流來襲,cold_snap
地獄彈膛,hells_chamber
積存毀壞,stockpiled_blight
海波斯庫拉對劍 prime 握柄,nami_skyla_prime_handle
破碎之風,fracturing_wind
猛烈爆發,fulmination
彈鼓,ammo_drum
至尊浪人,sovereign_outcast
角鬥士 威猛,gladiator_might
震地衝擊,heavy_impact
雷火,thunderbolt
生命之池,pool_of_life
熵數爆發,entropy_burst
致命誘惑,fatal_attraction
震撼衝拳,seismic_palm
壓迫點,pressure_point
彈藥改良,modified_munitions
天賦,natural_talent
箭型彈頭,flechette
飛光荒疫,shimmering_blight
正義刀鋒,justice_blades
敗興虐殺,buzz_kill
食人魚 prime 藍圖,pyrana_prime_blueprint
食人魚 prime 槍機,pyrana_prime_receiver
食人魚 prime 槍管,pyrana_prime_barrel
技巧之劍 prime 一套,destreza_prime_set
驅逐 grineer prime,primed_expel_grineer
驅逐 corpus prime,primed_expel_corpus
驅逐 infested prime,primed_expel_infested
驅逐 orokin prime,primed_expel_corrupted
震動之拳,quaking_hand
火焰腺體,flame_gland
分裂之刃,dividing_blades
光滑翡斯敏石,smooth_phasmin
生機賦能,arcane_pulse
驟然正義,sudden_justice
急進猛突,blood_rush
破片射擊,shrapnel_shot
冷卻液外泄,coolant_leak
火綾復甦,ward_recovery
火焰裝填 prime,primed_heated_charge
中子星爆,neutron_star
頭顱射擊,skull_shots
loki prime 頭部神經光元 藍圖,loki_prime_neuroptics_blueprint
私法 熱誠,vigilante_fervor
甲龍雙拳 prime 刀刃,ankyros_prime_blade
甲龍雙拳 prime 拳套,ankyros_prime_gauntlet
玻之武杖 prime 藍圖,bo_prime_blueprint
席瓦 & 神盾 prime 護手,silva_and_aegis_prime_guard
蝕骨寒霜,vicious_frost
鋸刃,jagged_edge
護盾瓦解,shield_disruption
魔導活力,magus_vigor
霰彈彈幕,shotgun_barrage
詐欺秘奧頭盔,arcane_swindle_helmet
角鬥士 箝制,gladiator_vice
經絡秘奧頭盔,arcane_meridian_helmet
傳說核心,legendary_fusion_core
猛虎 prime 槍托,tigris_prime_stock
旋壓刺針,spinning_needle
狙擊特昂 破壞者 槍托,snipetron_vandal_stock
野火,wildfire
滅亡 grineer,bane_of_grineer
scimitar 飛航系統 藍圖,scimitar_avionics_blueprint
反射防禦,reflex_guard
永恆之護,everlasting_ward
ash prime 頭部神經光元 藍圖,ash_prime_neuroptics_blueprint
電流震擊,jolt
守望者 prime 槍托,vectis_prime_stock
懾人神速,stunning_speed
持久力 prime,primed_continuity
玻之武杖 prime 握柄,bo_prime_handle
連續衝擊,crash_course
再生分流,vital_systems_bypass
奇異點,singularity
雜技裝甲,armored_acrobatics
致命動量,lethal_momentum
滅亡 infested prime,primed_bane_of_infested
滅亡 corpus prime,primed_bane_of_corpus
搬運者 prime 藍圖,carrier_prime_blueprint
狡狐詐面,vulpine_mask
滅亡 grineer prime,primed_bane_of_grineer
守望者 prime 槍管,vectis_prime_barrel
戰術上膛,tactical_pump
滅神秘奧頭盔,arcane_menticide_helmet
極光秘奧頭盔,arcane_aurora_helmet
月神 prime 藍圖,soma_prime_blueprint
釋放,unleashed
瓦斯托 prime 槍管,vasto_prime_barrel
合音秘奧頭盔,arcane_chorus_helmet
瓦斯托 prime 藍圖,vasto_prime_blueprint
飛逝熵數,entropy_flight
saryn prime 一套,saryn_prime_set
縱騰天際,poppin_vert
魔導修復,magus_repair
魔導干擾,magus_glitch
完美平衡,perfect_balance
菌株 吸收,strain_consume
zaw 裂罅 mod （尚未揭開）,zaw_riven_mod_(veiled)
惡狼戰鎚 藍圖,wolf_sledge_blueprint
魔導超載,magus_overload
分子裂變,molecular_fission
惡狼戰鎚馬達,wolf_sledge_motor
猛烈發狂,wild_frenzy
凝固汽油榴彈,napalm_grenades
提佩多 prime 握柄,tipedo_prime_handle
斯特拉迪瓦 prime 一套,stradavar_prime_set
equinox prime 藍圖,equinox_prime_blueprint
野馬 prime 槍管,bronco_prime_barrel
戰爭之劍 握柄,war_hilt
nova prime 系統 藍圖,nova_prime_systems_blueprint
frost prime 藍圖,frost_prime_blueprint
野馬 prime 藍圖,bronco_prime_blueprint
星界微光,astral_twilight
速射,snap_shot
伯斯頓 prime 槍機,burston_prime_receiver
狼牙 prime 刀刃,fang_prime_blade
vauban prime 頭部神經光元 藍圖,vauban_prime_neuroptics_blueprint
飛揚 prime 星鏢,hikou_prime_stars
入侵者,intruder
棱晶 安格斯壯,prisma_angstrum
菲德菈 槍托,phaedra_stock
灼痕焦點,scorch
熵數尖釘,entropy_spike
終焉風暴,eleventh_storm
nova prime 頭部神經光元 藍圖,nova_prime_neuroptics_blueprint
反物質地雷,antimatter_mine
nova prime 機體 藍圖,nova_prime_chassis_blueprint
棱彩護衛,prism_guard
戲法增幅,trick_mag
nova prime 藍圖,nova_prime_blueprint
虛偽連結,deceptive_bond
frost prime 頭部神經光元 藍圖,frost_prime_neuroptics_blueprint
颮風秘奧頭盔,arcane_squall_helmet
精算蓄能,calculated_redirection
充電彈頭,charged_shell
淨化 corpus,cleanse_corpus
熾燃鋼鐵,searing_steel
加速充能,accelerated_deflection
巨林衝擊,clashing_forest
原始暴怒,primal_rage
天聖踐踏,celestial_stomp
保障 潘塔,secura_penta
剃刀射擊,razor_shot
緩動驚駭,creeping_terrify
trinity prime 藍圖,trinity_prime_blueprint
冷面狂怒,grim_fury
阿耶檀識 orta 塑像,ayatan_orta_sculpture
能量導引,energy_channel
神聖清算,hallowed_reckoning
痙攣,convulsion
狂怒賦能,arcane_fury
極速復元,rapid_resilience
瘟疫手槍,pistol_pestilence
非晶變壓器 prime,primed_morphic_transformer
虛弱動能,frail_momentum
病原彈頭,pathogen_rounds
神盾賦能,arcane_aegis
瞬間衝擊,sudden_impact
結果賦能,arcane_consequence
強化刀片,tempered_blade
毀滅 corpus,smite_corpus
充沛賦能,arcane_energize
尖牙連射,fanged_fusillade
角鬥士 決心,gladiator_resolve
幽靈,ghost
白霜彈頭,rime_rounds
金工火神 亡魂,vulkar_wraith
阿耶檀識 piv 塑像,ayatan_piv_sculpture
抵死護甲,negation_swarm
雷筒,blunderbuss
席芭莉絲 prime 槍管,sybaris_prime_barrel
半人馬 盾牌,centaur_aegis
中樞蘇達強化mod,cephalon_suda_augment_mod
banshee prime 機體 藍圖,banshee_prime_chassis_blueprint
急凍控場,chilling_grasp
wukong prime 機體 藍圖,wukong_prime_chassis_blueprint
熾烈堅刃,blazing_steel
過熱射擊,fired_up
雲暴山碎,shattering_storm
恐懼感應,sense_danger
刀鋒彈舞,bullet_dance
雙子蝰蛇 亡魂 藍圖,twin_vipers_wraith_blueprint
分裂膛室,split_chamber
北風,north_wind
霰彈槍彈藥蒐集者,shotgun_scavenger
樞議 咖瑪腕甲槍,synoid_gammacor
赫利俄斯 prime 一套,helios_prime_set
緋紅 布里斯提卡,rakta_ballistica
hydroid prime 頭部神經光元 藍圖,hydroid_prime_neuroptics_blueprint
貪婪吸引,greedy_pull
席瓦 & 神盾 prime 一套,silva_and_aegis_prime_set
守護光罩,sanctuary
繫繩榴彈,tether_grenades
飛行員,aviator
獵鷹俯擊,swooping_falcon
百折不撓,constitution
懲擊洗禮,smite_infusion
喀婆薩 prime 庫狛項圈 一套,kavasa_prime_kubrow_collar_set
拉特昂 prime 一套,latron_prime_set
雷克斯 prime 一套,lex_prime_set
odonata prime 一套,odonata_prime_set
恆穩槍桿,gun_glide
蓋霜跳馬,rime_vault
戰無不克,vanquished_prey
電流長矛,voltaic_lance
靈快節拍,deft_tempo
雙重連擊,double_tap
搏命反撲,final_act
最終一擊,final_tap
液壓槍膛,hydraulic_chamber
液壓彈藥,hydraulic_gauge
鬆弛槍蓋,loose_hatch
狹窄槍膛,narrow_barrel
斯特朗 亡魂 槍管,strun_wraith_barrel
夜靈 zenurik 晶體,eidolon_zenurik_lens
技巧之劍 prime 握柄,destreza_prime_handle
耐久強化,enhanced_durability
切換增幅,holster_amp
速攻賦能,arcane_strike
兇惡延伸,sinister_reach
守望者 prime 一套,vectis_prime_set
雕斬螳螂,carving_mantis
領袖 prime,primed_pack_leader
消磁賦能,arcane_nullifier
rhino prime 一套,rhino_prime_set
暗殺者 prime 一套,sicarus_prime_set
精準火槍,grinloked
勝利賦能,arcane_victory
緊湊步伐,hastened_steps
埋伏射擊,lie_in_wait
螺釘步槍 prime 槍機,boltor_prime_receiver
螺釘步槍 prime 槍托,boltor_prime_stock
暗夜追跡者,night_stalker
樞議 赫利俄光鎚,synoid_heliocor
elytron 系統,elytron_systems_blueprint
鋼鐵防線強化mod,steel_meridian_augment_mod
暗影收割,shadow_harvest
銀白天災,argent_scourge
猛虎 prime 槍管,tigris_prime_barrel
彈匣置換,eject_magazine
應急備案,plan_b
炙熱黃蜂,burning_wasp
尖銳子彈,sharpened_bullets
撕裂彈頭,ripper_rounds
月神 prime 槍機,soma_prime_receiver
收割螺旋,reaping_spiral
月神 prime 槍托,soma_prime_stock
銳利刀刃,sharpened_blade
滑行掃射,strafing_slide
scimitar 一套,scimitar_set
殘盾轉換,surplus_diverters
災變連連,cataclysmic_continuum
布萊頓 prime 一套,braton_prime_set
殘酷打擊,relentless_assault
席瓦 & 神盾 prime 握柄,silva_and_aegis_prime_hilt
精準彈跳,calculated_spring
彗星彈頭,comet_rounds
hydroid prime 機體 藍圖,hydroid_prime_chassis_blueprint
雷克斯雙槍 prime 藍圖,aklex_prime_blueprint
雷克斯雙槍 prime 一套,aklex_prime_set
布里斯提卡 prime 藍圖,ballistica_prime_blueprint
秋風落葉,tranquil_cleave
連動 生命力,link_vitality
領袖,pack_leader
倖存生靈,soul_survivor
分子轉化,molecular_conversion
重擊者,thumper
衝刺,rush
污染彈匣,infected_clip
淨化 infested,cleanse_infested
烈焰,blaze
吸取,vacuum
能量產生器,energy_generator
深紅颶風,scarlet_hurricane
兇惡途徑,vicious_approach
冰凍雙顎,frost_jaw
電擊項圈,shock_collar
收尾痛擊,thrash_landing
躍動 衝擊,motus_impact
空飛 俯瞰,aero_vantage
躍動 設局,motus_setup
狂風猛踢,gale_kick
躍動 信號,motus_signal
12 號甲板場景,deck_12_scene
降靈追獵者 prime 藍圖,ninkondi_prime_blueprint
諸葛連弩 prime 槍管,zhuge_prime_barrel
降靈追獵者 prime 握柄,ninkondi_prime_handle
降靈追獵者 prime 一套,ninkondi_prime_set
wukong prime 一套,wukong_prime_set
分裂斬斧 prime 握柄,scindo_prime_handle
極惡精準,vile_precision
視差瞄具,parallax_scope
生命力,vitality
狙擊槍彈藥蒐集者,sniper_scavenger
獵殺型庫狛 基因印記,sunika_kubrow_imprint
鏡像型庫娃 基因印記,adarza_kavat_imprint
絕路 prime 槍管,rubico_prime_barrel
暴風使者,stormbringer
爆發賦能,arcane_eruption
黃蜂秘奧頭盔,arcane_vespa_helmet
脫離速度,escape_velocity
驅逐 infested,expel_infested
集氣城雲霄場景,gas_city_cloud_vista_scene
燃燒彈頭,combustion_rounds
狙擊槍彈藥轉換,sniper_ammo_mutation
loki prime 藍圖,loki_prime_blueprint
穿透力,seeking_force
弱點專精,target_cracker
彈指瞬技,fleeting_expertise
關鍵延遲,critical_delay
激怒,provoked
腐壞打擊,spoiled_strike
燃燒外殼,incendiary_coat
線圈秘奧頭盔,arcane_coil_helmet
預言 協約,augur_accord
破裂填裝,breach_loader
雙短柄戰鐮 prime 藍圖,dual_kamas_prime_blueprint
母神悲歌,gaias_tragedy
拉特昂 prime 槍管,latron_prime_barrel
卡拉克 亡魂 槍管,karak_wraith_barrel
zenurik 晶體,zenurik_lens
矯捷竄升,agility_drift
咬碎,bite
續燃,afterburn
風起雲湧,rising_storm
ember prime 一套,ember_prime_set
蓄能重劃,redirection
狼牙 prime 一套,fang_prime_set
冰封護罩,chilling_globe
mag prime 一套,mag_prime_set
煉獄烈焱,exothermic
nekros prime 頭部神經光元 藍圖,nekros_prime_neuroptics_blueprint
鷹眼,eagle_eye
護盾超載,shield_overload
電弧線圈,arc_coil
混亂領域,chaos_sphere
狂化衝動,hysterical_fixation
褻瀆清算,defiled_reckoning
潰散射擊,crash_shot
彈藥儲轉箱,ammo_case
悅音 prime 一套,euphona_prime_set
真相之刃,blade_of_truth
聚焦能量,focus_energy
隼目,hawk_eye
野豬 prime 藍圖,boar_prime_blueprint
oberon prime 一套,oberon_prime_set
半人馬 劍刃,centaur_blade
掃蕩鋸齒,sweeping_serration
馴象鉤刃 刀刃,agkuza_blade
連動 蓄能,link_redirection
狂鯊 prime 藍圖,tiberon_prime_blueprint
棱晶 斬肉雙刀,prisma_dual_cleavers
定向匯聚,directed_convergence
saryn prime 藍圖,saryn_prime_blueprint
重創 prime,primed_heavy_trauma
覺醒賦能,arcane_awakening
gamma 信標,gamma_beacon
通牒賦能,arcane_ultimatum
德拉 破壞者 藍圖,dera_vandal_blueprint
棱晶 奧比克斯,prisma_obex
玻之武杖 prime 一套,bo_prime_set
野豬 prime 一套,boar_prime_set
布里斯提卡 prime 槍機,ballistica_prime_receiver
螺釘步槍 prime 一套,boltor_prime_set
斯特朗 亡魂 槍托,strun_wraith_stock
斯特朗 亡魂 一套,strun_wraith_set
科加基 prime 一套,kogake_prime_set
科加基 prime 拳套,kogake_prime_gauntlet
zephyr prime 藍圖,zephyr_prime_blueprint
拉托 破壞者 一套,lato_vandal_set
拉托 破壞者 藍圖,lato_vandal_blueprint
拉托 破壞者 槍管,lato_vandal_barrel
布萊頓 破壞者 一套,braton_vandal_set
grineer 駐紮地火砲場景,grineer_settlement_artillery_scene
赤毒要塞裂縫場景,kuva_fortress_crevice_scene
grineer 海底實驗室離心機場景,grineer_sealab_centrifuge_scene
月球樓廳場景,lua_balcony_scene
再啟動,reawaken
valkyr prime 頭部神經光元 藍圖,valkyr_prime_neuroptics_blueprint
半人馬 握柄,centaur_handle
預言 啟示,augur_message
真實懲罰,true_punishment
熵數起爆,entropy_detonation
撕裂鶴擊,rending_crane
空中偵察,air_recon
凱旋之爪 prime 藍圖,venka_prime_blueprint
悅音 prime 藍圖,euphona_prime_blueprint
奧努里克斯 握柄,onorix_handle
抵近射擊,point_blank
充能反彈,reflection
螫刺狂棘,stinging_thorn
霰彈槍增幅,shotgun_amp
魔導近點,magus_anomaly
雙短柄戰鐮 prime 握柄,dual_kamas_prime_handle
正直突波,virtuos_surge
標記目標,marked_target
強化刀鋒,empowered_blades
喀婆薩 prime 庫狛項圈扣,kavasa_prime_buckle
菌株 爆裂,strain_eruption
團結一致,stand_united
喀婆薩 prime 庫狛項圈帶,kavasa_prime_band
赤毒王座場景,kuva_throne_scene
聖殿通道場景,sanctuary_conduit_scene
劇毒之牙,venom_teeth
堅強崛起,rising_steel
狂怒穿刺,piercing_fury
星形紫莧石,star_amarast
啟明物懸浮驅動,venerdo_hoverdrive
軌上燃焰,trail_blazer
掃描物質,scan_matter
動能摩擦,kinetic_friction
掃描水生生命體,scan_lifeforms
乘空時間,air_time
護軌器,rail_guards
突擊模式,assault_mode
磁吸固鎖,mag_locks
慣性減震,inertia_dampeners
瓦斯托雙槍 prime 一套,akvasto_prime_set
永恆苦痛,perpetual_agony
靈活裝甲,armored_agility
殺傷計數,body_count
偏折賦能,arcane_deflection
創口潰爛,weeping_wounds
野馬雙槍 prime 連接器,akbronco_prime_link
朱紅暴風,vermillion_storm
致殘突擊,maiming_strike
偵查,investigator
火焰行者,firewalker
液壓準心,hydraulic_crosshairs
劇毒飛騰,toxic_flight
雷射瞄具,laser_sight
毀滅 infested,smite_infested
猛毒附加,venom_dose
撕裂翻轉,rending_turn
震波,seismic_wave
達克拉 prime 握柄,dakra_prime_handle
驅逐 grineer,expel_grineer
月神 prime 槍管,soma_prime_barrel
mag prime 頭部神經光元 藍圖,mag_prime_neuroptics_blueprint
爆發裝填 prime,primed_fast_hands
弗拉克斯 亡魂 一套,furax_wraith_set
死亡之眼,dead_eye
近戰裂罅 mod （尚未揭開）,melee_riven_mod_(veiled)
腐蝕投射,corrosive_projection
手槍裂罅 mod （尚未揭開）,pistol_riven_mod_(veiled)
重創,heavy_trauma
神威勇猛,exodia_valor
蓄力裝填,charged_chamber
潮汐湧淨,tidal_impunity
穿甲口徑,piercing_caliber
復燃秘奧頭盔,arcane_backdraft_helmet
凝膠爆破,adhesive_blast
動能碰撞,kinetic_collision
雷電米特爾,thundermiter
畫龍點睛,finishing_touch
活潑靜電,static_alacrity
ash prime 機體 藍圖,ash_prime_chassis_blueprint
猛虎 prime 藍圖,tigris_prime_blueprint
緊急後果,emergent_aftermath
不屈不撓,fortitude
ash prime 系統 藍圖,ash_prime_systems_blueprint
mag prime 系統 藍圖,mag_prime_systems_blueprint
棱晶 葛拉卡達,prisma_grakata
全面驅動,mobilize
守望者 prime 槍機,vectis_prime_receiver
自動板機,automatic_trigger
復原裝甲,armored_recovery
勇氣 惡龍,vaykor_sydon
串聯彈匣,slip_magazine
連牙追襲,homing_fang
優雅賦能,arcane_grace
捶擊,maul
構造強化,enhanced_vitality
玻之武杖 prime 飾品,bo_prime_ornament
德拉 破壞者 槍機,dera_vandal_receiver
甲龍雙拳 prime 一套,ankyros_prime_set
卑劣加速,vile_acceleration
彈頭擴散,barrel_diffusion
旋風,whirlwind
毒抗,antitoxin
衝擊干擾,disruptor
重口徑,heavy_caliber
穿甲傷害,piercing_hit
持久力,continuity
感染彈匣,tainted_clip
電擊震盪,shock_trooper
川流不息,flow
降速爆擊,critical_deceleration
蛟龍 prime 外殼,wyrm_prime_carapace
治癒烈焰,healing_flame
深淵之火,atlantis_vulcan
棱晶 特拉,prisma_tetra
破碎聲波,sonic_fracture
帕里斯 prime 一套,paris_prime_set
trinity prime 一套,trinity_prime_set
私法 軍備,vigilante_armaments
席芭莉絲 prime 藍圖,sybaris_prime_blueprint
欺幻魔燈,beguiling_lantern
布里斯提卡 prime 一套,ballistica_prime_set
正直狂怒,virtuos_fury
正直空無,virtuos_null
正直節奏,virtuos_tempo
神威氣力,exodia_force
正直鬼魅,virtuos_ghost
華彩刀劍,chromatic_blade
驅逐 orokin,expel_corrupted
角鬥士 聖盾,gladiator_aegis
抵消正義,neutralizing_justice
發光的黃道寶石,radiant_zodian
食人魚噬咬,biting_piranha
wukong prime 藍圖,wukong_prime_blueprint
wukong prime 系統 藍圖,wukong_prime_systems_blueprint
諸葛連弩 prime 弓弦,zhuge_prime_string
鍍金真相,gilded_truth
連動 纖維,link_fiber
頂天立地,sure_footed
血色萬柳,bleeding_willow
不朽意志,undying_will
鋼鐵鳳凰,iron_phoenix
尖銳之風,pointed_wind
穩定,stabilizer
步槍彈藥蒐集者,rifle_scavenger
加速,quickening
紅晶槍管,rubedo_lined_barrel
破甲,sundering_strike
抵消,negate
生長怪奇,peculiar_growth
技巧之劍 prime 刀刃,destreza_prime_blade
機甲 強化,mecha_empowered
機甲 脈衝,mecha_pulse
重鐵雨落,mafic_rain
原木衝擊,crashing_timber
污染水螅,tainted_hydra
盤旋鞭笞,lashing_coil
重生,regen
雷克斯雙槍 prime 連接器,aklex_prime_link
靈敏扳機,speed_trigger
預言 神密,augur_secrets
cressa 的駐紮處場景,cressas_garrison_scene
仲裁者法庭場景,arbiters_tribunal_scene
grineer 森林工業場景,grineer_forest_industry_scene
banshee prime 系統 藍圖,banshee_prime_systems_blueprint
箭矢轉換,arrow_mutation
hydroid prime 藍圖,hydroid_prime_blueprint
急速偏斜,hastened_deflection
傳染性注射,infectious_injection
慧黠斬剃,wise_razor
equinox prime 系統 藍圖,equinox_prime_systems_blueprint
archwing 槍械裂罅 mod （尚未揭開）,archgun_riven_mod_(veiled)
帕里斯 prime 藍圖,paris_prime_blueprint
